2012-07-13,The Best Exotic Marigold Hotel,涉外大酒店,2012
2012-07-06,The Game,心理游戏,1997
2012-06-29,Departures,入殓师,2008
2012-06-22,The Intouchables,触不可及,2011
2012-06-15,Frequency,黑洞频率,2000
2012-06-08,Big Fish,大鱼,2003
2012-06-01,Iron Sky,钢铁苍穹,2012
2012-05-25,A Summer at Grandpa's,冬冬的假期,1984
2012-05-18,Guns and Roses,黄金大劫案,2012
2012-05-11,Waterworld,未来水世界,1995
2012-05-04,Twelve Monkeys,十二猴子,1995
2012-04-27,Sherlock Holmes: A Game of Shadows,大侦探福尔摩斯2：诡影游戏,2011
2012-04-20,Underworld: Awakening,黑夜传说4：觉醒,2012
2012-04-13,Galaxy Quest,惊爆银河系,1999
2012-04-06,Mission: Impossible - Ghost Protocol,碟中谍4,2011
2012-03-30,Midnight in Paris,午夜巴黎,2011
2012-03-23,War Horse,战马,2011
2012-03-16,The Artist,艺术家,2011
2012-03-09,A Separation,一次别离,2011
2012-03-02,The Adventures of Tintin,丁丁历险记,2011
2012-02-24,Hugo,雨果,2011
2012-02-17,Puss in Boots,穿靴子的猫,2011
2012-02-10,Agora,城市广场,2009
2012-02-03,Tinker Tailor Soldier Spy,锅匠 裁缝 士兵 间谍,2011
2012-01-27,
2012-01-20,
2012-01-13,You Are the Apple of My Eye,那些年，我们一起追的女孩,2011
2012-01-06,Deconstructing Harry,解构爱情狂,1997
2011-12-30,The Bodyguard from Beijing,中南海保镖,1994
2011-12-23,Van Helsing,范海辛,2004
2011-12-16,Warrior,勇士,2011
2011-12-09,The Chronicles of Riddick,星际传奇2,2004
2011-12-02,Requiem for a Dream,梦之安魂曲,2000
2011-11-25,Sunny,阳光姐妹淘,2011
2011-11-18,Moon,月球,2009
2011-11-11,Rise of the Planet of the Apes,猩球崛起,2011
2011-11-04,O Brother Where Art Thou,逃狱三王,2000
2011-10-28,Harry Potter and the Deathly Hallows: Part 2,哈利·波特与死亡圣器(下),2011
2011-10-21,Cars 2,赛车总动员2,2011
2011-10-14,Kung Fu Panda 2,功夫熊猫2,2011
2011-10-07,
2011-09-30,Edward Scissorhands,剪刀手爱德华,1990
2011-09-23,The Tree of Life,生命之树,2011
2011-09-16,Thor,雷神,2011
2011-09-09,The Illusionist,魔术师,2010
2011-09-02,
2011-08-26,Source Code,源代码,2011
2011-08-19,
2011-08-12,
2011-08-05,
2011-07-29,
2011-07-22,The Boat That Rocked,海盗电台,2009
2011-07-15,
2011-07-08,Mulholland Drive,穆赫兰道,2001
2011-07-01,
2011-06-24,Ghost World,幽灵世界,2001
2011-06-17,Red Riding Hood,小红帽,2011
2011-06-10,2001: A Space Odyssey,2001太空漫游,1968
2011-06-03,
2011-05-27,
2011-05-20,The Usual Suspects,非常嫌疑犯,1995
2011-05-13,A Clockwork Orange,发条橙,1971
2011-05-06,Fight Club,搏击俱乐部,1999
2011-04-29,
2011-04-22,
2011-04-15,
2011-04-08,
2011-04-01,
2011-03-25,
2011-03-18,
2011-03-11,Raging Bull,愤怒的公牛,1980
2011-03-04,Rashomon,罗生门,1950
2011-02-25,True Grit,大地惊雷,2010
2011-02-18,
2011-02-11,Black Swan,黑天鹅,2010
2011-02-04,
2011-01-28,
2011-01-21,A Single Man,单身男子,2009
2011-01-14,
2011-01-07,
2010-12-31,
2010-12-24,
2010-12-17,Changeling,换子疑云,2008
2010-12-10,
2010-12-03,
2010-11-26,
2010-11-19,The Magnificent Seven,豪勇七蛟龙,1960
2010-11-12,Hangover,宿醉,2009
2010-11-05,Der Himmel ueber Berlin,柏林苍穹下,1987
2010-10-29,"The Good, the Bad and the Ugly",黄金三镖客,1966
2010-10-22,Metropia,地下理想国,2009
2010-10-15,Red,赤焰战场,2010
2010-10-08,Lost in Translation,迷失东京,2003
2010-10-01,
2010-09-24,
2010-09-17,"Lock, Stock and Two Smoking Barrels",两杆大烟枪,1998
2010-09-10,
2010-09-03,Lola rennt,罗拉快跑,1998
2010-08-27,Greenberg,格林伯格,2010
2010-08-20,Agora,城市广场,2009
2010-08-13,Trainspotting,猜火车,1996
2010-08-06,Farewell My Concubine,霸王别姬,1993
